2012-07-13 12:57:06 status installed man-db 2.5.2-4
2012-07-13 12:57:07 startup packages configure
2012-07-13 12:57:07 configure make 3.81-5 3.81-5
2012-07-13 12:57:07 status unpacked make 3.81-5
2012-07-13 12:57:07 status half-configured make 3.81-5
2012-07-13 12:57:07 status installed make 3.81-5
2012-07-13 12:57:59 startup archives unpack
2012-07-13 12:57:59 upgrade libc6 2.7-18 2.7-18lenny7
2012-07-13 12:57:59 status half-configured libc6 2.7-18
2012-07-13 12:57:59 status unpacked libc6 2.7-18
2012-07-13 12:57:59 status half-installed libc6 2.7-18
2012-07-13 12:58:03 status triggers-pending man-db 2.5.2-4
2012-07-13 12:58:08 status half-installed libc6 2.7-18
2012-07-13 12:58:10 status half-installed libc6 2.7-18
2012-07-13 12:58:11 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:12 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:12 trigproc man-db 2.5.2-4 2.5.2-4
2012-07-13 12:58:12 status half-configured man-db 2.5.2-4
2012-07-13 12:58:12 status installed man-db 2.5.2-4
2012-07-13 12:58:13 startup packages configure
2012-07-13 12:58:13 configure libc6 2.7-18lenny7 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status unpacked libc6 2.7-18lenny7
2012-07-13 12:58:13 status half-configured libc6 2.7-18lenny7
2012-07-13 12:58:19 status installed libc6 2.7-18lenny7
2012-07-13 12:58:20 startup archives unpack
2012-07-13 12:58:20 install binutils <none> 2.18.1~cvs20080103-7
2012-07-13 12:58:20 status half-installed binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:20 status triggers-pending man-db 2.5.2-4
2012-07-13 12:58:21 status half-installed binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:21 status unpacked binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:21 status unpacked binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:21 install libgmp3c2 <none> 2:4.2.2+dfsg-3
2012-07-13 12:58:21 status half-installed libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:21 status unpacked libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:21 status unpacked libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:21 install libmpfr1ldbl <none> 2.3.1.dfsg.1-2
2012-07-13 12:58:21 status half-installed libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:21 status unpacked libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:21 status unpacked libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:21 install cpp-4.3 <none> 4.3.2-1.1
2012-07-13 12:58:21 status half-installed cpp-4.3 4.3.2-1.1
2012-07-13 12:58:22 status unpacked cpp-4.3 4.3.2-1.1
2012-07-13 12:58:22 status unpacked cpp-4.3 4.3.2-1.1
2012-07-13 12:58:22 install cpp <none> 4:4.3.2-2
2012-07-13 12:58:22 status half-installed cpp 4:4.3.2-2
2012-07-13 12:58:22 status half-installed cpp 4:4.3.2-2
2012-07-13 12:58:22 status unpacked cpp 4:4.3.2-2
2012-07-13 12:58:23 status unpacked cpp 4:4.3.2-2
2012-07-13 12:58:23 install libgomp1 <none> 4.3.2-1.1
2012-07-13 12:58:23 status half-installed libgomp1 4.3.2-1.1
2012-07-13 12:58:23 status unpacked libgomp1 4.3.2-1.1
2012-07-13 12:58:23 status unpacked libgomp1 4.3.2-1.1
2012-07-13 12:58:23 install gcc-4.3 <none> 4.3.2-1.1
2012-07-13 12:58:23 status half-installed gcc-4.3 4.3.2-1.1
2012-07-13 12:58:23 status unpacked gcc-4.3 4.3.2-1.1
2012-07-13 12:58:23 status unpacked gcc-4.3 4.3.2-1.1
2012-07-13 12:58:23 install gcc <none> 4:4.3.2-2
2012-07-13 12:58:23 status half-installed gcc 4:4.3.2-2
2012-07-13 12:58:23 status half-installed gcc 4:4.3.2-2
2012-07-13 12:58:23 status unpacked gcc 4:4.3.2-2
2012-07-13 12:58:23 status unpacked gcc 4:4.3.2-2
2012-07-13 12:58:23 install linux-libc-dev <none> 2.6.26-29
2012-07-13 12:58:23 status half-installed linux-libc-dev 2.6.26-29
2012-07-13 12:58:24 status unpacked linux-libc-dev 2.6.26-29
2012-07-13 12:58:24 status unpacked linux-libc-dev 2.6.26-29
2012-07-13 12:58:24 install libc6-dev <none> 2.7-18lenny7
2012-07-13 12:58:24 status half-installed libc6-dev 2.7-18lenny7
2012-07-13 12:58:24 status half-installed libc6-dev 2.7-18lenny7
2012-07-13 12:58:25 status unpacked libc6-dev 2.7-18lenny7
2012-07-13 12:58:25 status unpacked libc6-dev 2.7-18lenny7
2012-07-13 12:58:25 trigproc man-db 2.5.2-4 2.5.2-4
2012-07-13 12:58:25 status half-configured man-db 2.5.2-4
2012-07-13 12:58:25 status installed man-db 2.5.2-4
2012-07-13 12:58:26 startup packages configure
2012-07-13 12:58:26 configure binutils 2.18.1~cvs20080103-7 2.18.1~cvs20080103-7
2012-07-13 12:58:26 status unpacked binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:27 status half-configured binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:27 status installed binutils 2.18.1~cvs20080103-7
2012-07-13 12:58:27 configure libgmp3c2 2:4.2.2+dfsg-3 2:4.2.2+dfsg-3
2012-07-13 12:58:27 status unpacked libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:27 status half-configured libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:28 status installed libgmp3c2 2:4.2.2+dfsg-3
2012-07-13 12:58:28 configure libmpfr1ldbl 2.3.1.dfsg.1-2 2.3.1.dfsg.1-2
2012-07-13 12:58:28 status unpacked libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:28 status half-configured libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:28 status installed libmpfr1ldbl 2.3.1.dfsg.1-2
2012-07-13 12:58:29 configure cpp-4.3 4.3.2-1.1 4.3.2-1.1
2012-07-13 12:58:29 status unpacked cpp-4.3 4.3.2-1.1
2012-07-13 12:58:29 status half-configured cpp-4.3 4.3.2-1.1
2012-07-13 12:58:29 status installed cpp-4.3 4.3.2-1.1
2012-07-13 12:58:29 configure cpp 4:4.3.2-2 4:4.3.2-2
2012-07-13 12:58:29 status unpacked cpp 4:4.3.2-2
2012-07-13 12:58:29 status half-configured cpp 4:4.3.2-2
2012-07-13 12:58:29 status installed cpp 4:4.3.2-2
2012-07-13 12:58:29 configure libgomp1 4.3.2-1.1 4.3.2-1.1
2012-07-13 12:58:29 status unpacked libgomp1 4.3.2-1.1
2012-07-13 12:58:29 status half-configured libgomp1 4.3.2-1.1
2012-07-13 12:58:30 status installed libgomp1 4.3.2-1.1
2012-07-13 12:58:30 configure gcc-4.3 4.3.2-1.1 4.3.2-1.1
2012-07-13 12:58:30 status unpacked gcc-4.3 4.3.2-1.1
2012-07-13 12:58:30 status half-configured gcc-4.3 4.3.2-1.1
2012-07-13 12:58:30 status installed gcc-4.3 4.3.2-1.1
2012-07-13 12:58:30 configure gcc 4:4.3.2-2 4:4.3.2-2
2012-07-13 12:58:30 status unpacked gcc 4:4.3.2-2
2012-07-13 12:58:30 status half-configured gcc 4:4.3.2-2
2012-07-13 12:58:31 status installed gcc 4:4.3.2-2
2012-07-13 12:58:31 configure linux-libc-dev 2.6.26-29 2.6.26-29
2012-07-13 12:58:31 status unpacked linux-libc-dev 2.6.26-29
2012-07-13 12:58:31 status half-configured linux-libc-dev 2.6.26-29
2012-07-13 12:58:31 status installed linux-libc-dev 2.6.26-29
2012-07-13 12:58:31 configure libc6-dev 2.7-18lenny7 2.7-18lenny7
2012-07-13 12:58:31 status unpacked libc6-dev 2.7-18lenny7
2012-07-13 12:58:31 status half-configured libc6-dev 2.7-18lenny7
2012-07-13 12:58:31 status installed libc6-dev 2.7-18lenny7
2012-07-13 13:01:58 startup archives unpack
2012-07-13 13:01:58 install libncurses5-dev <none> 5.7+20081213-1
2012-07-13 13:01:58 status half-installed libncurses5-dev 5.7+20081213-1
2012-07-13 13:01:58 status triggers-pending man-db 2.5.2-4
2012-07-13 13:01:58 status half-installed libncurses5-dev 5.7+20081213-1
2012-07-13 13:01:59 status unpacked libncurses5-dev 5.7+20081213-1
2012-07-13 13:01:59 status unpacked libncurses5-dev 5.7+20081213-1
2012-07-13 13:01:59 trigproc man-db 2.5.2-4 2.5.2-4
2012-07-13 13:01:59 status half-configured man-db 2.5.2-4
2012-07-13 13:01:59 status installed man-db 2.5.2-4
2012-07-13 13:02:00 startup packages configure
2012-07-13 13:02:00 configure libncurses5-dev 5.7+20081213-1 5.7+20081213-1
2012-07-13 13:02:00 status unpacked libncurses5-dev 5.7+20081213-1
2012-07-13 13:02:01 status half-configured libncurses5-dev 5.7+20081213-1
2012-07-13 13:02:01 status installed libncurses5-dev 5.7+20081213-1
2012-07-13 14:38:07 startup archives unpack
2012-07-13 14:38:08 install uboot-mkimage <none> 0.4
2012-07-13 14:38:08 status half-installed uboot-mkimage 0.4
2012-07-13 14:38:08 status unpacked uboot-mkimage 0.4
2012-07-13 14:38:08 status unpacked uboot-mkimage 0.4
2012-07-13 14:38:09 startup packages configure
2012-07-13 14:38:09 configure uboot-mkimage 0.4 0.4
2012-07-13 14:38:09 status unpacked uboot-mkimage 0.4
2012-07-13 14:38:09 status half-configured uboot-mkimage 0.4
2012-07-13 14:38:09 status installed uboot-mkimage 0.4
2012-07-17 12:01:04 startup archives unpack
2012-07-17 12:01:04 install console-data <none> 2:1.07-11
2012-07-17 12:01:04 status half-installed console-data 2:1.07-11
2012-07-17 12:01:06 status unpacked console-data 2:1.07-11
2012-07-17 12:01:06 status unpacked console-data 2:1.07-11
2012-07-17 12:01:06 install kbd <none> 1.14.1-4
2012-07-17 12:01:06 status half-installed kbd 1.14.1-4
2012-07-17 12:01:06 status triggers-pending man-db 2.5.2-4
2012-07-17 12:01:06 status half-installed kbd 1.14.1-4
2012-07-17 12:01:07 status unpacked kbd 1.14.1-4
2012-07-17 12:01:07 status unpacked kbd 1.14.1-4
2012-07-17 12:01:07 install console-common <none> 0.7.80
2012-07-17 12:01:07 status half-installed console-common 0.7.80
2012-07-17 12:01:10 status half-installed console-common 0.7.80
2012-07-17 12:01:10 status unpacked console-common 0.7.80
2012-07-17 12:01:11 status unpacked console-common 0.7.80
2012-07-17 12:01:11 install eject <none> 2.1.5+deb1-4
2012-07-17 12:01:11 status half-installed eject 2.1.5+deb1-4
2012-07-17 12:01:11 status half-installed eject 2.1.5+deb1-4
2012-07-17 12:01:11 status unpacked eject 2.1.5+deb1-4
2012-07-17 12:01:11 status unpacked eject 2.1.5+deb1-4
2012-07-17 12:01:11 install libcairomm-1.0-1 <none> 1.6.0-1
2012-07-17 12:01:11 status half-installed libcairomm-1.0-1 1.6.0-1
2012-07-17 12:01:11 status unpacked libcairomm-1.0-1 1.6.0-1
2012-07-17 12:01:11 status unpacked libcairomm-1.0-1 1.6.0-1
2012-07-17 12:01:11 install libglibmm-2.4-1c2a <none> 2.16.4-1
2012-07-17 12:01:11 status half-installed libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:01:11 status unpacked libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:01:11 status unpacked libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:01:11 install libgtkmm-2.4-1c2a <none> 1:2.12.7-1
2012-07-17 12:01:11 status half-installed libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:01:12 status unpacked libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:01:12 status unpacked libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:01:12 install libparted1.8-10 <none> 1.8.8.git.2008.03.24-11.1
2012-07-17 12:01:12 status half-installed libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:01:12 status unpacked libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:01:12 status unpacked libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:01:12 install libhal1 <none> 0.5.11-8
2012-07-17 12:01:12 status half-installed libhal1 0.5.11-8
2012-07-17 12:01:12 status unpacked libhal1 0.5.11-8
2012-07-17 12:01:12 status unpacked libhal1 0.5.11-8
2012-07-17 12:01:12 install libhal-storage1 <none> 0.5.11-8
2012-07-17 12:01:12 status half-installed libhal-storage1 0.5.11-8
2012-07-17 12:01:12 status unpacked libhal-storage1 0.5.11-8
2012-07-17 12:01:12 status unpacked libhal-storage1 0.5.11-8
2012-07-17 12:01:12 install usbutils <none> 0.73-10lenny2
2012-07-17 12:01:12 status half-installed usbutils 0.73-10lenny2
2012-07-17 12:01:12 status half-installed usbutils 0.73-10lenny2
2012-07-17 12:01:12 status unpacked usbutils 0.73-10lenny2
2012-07-17 12:01:13 status unpacked usbutils 0.73-10lenny2
2012-07-17 12:01:13 install hal-info <none> 20080508+git20080601-1
2012-07-17 12:01:13 status half-installed hal-info 20080508+git20080601-1
2012-07-17 12:01:13 status unpacked hal-info 20080508+git20080601-1
2012-07-17 12:01:13 status unpacked hal-info 20080508+git20080601-1
2012-07-17 12:01:13 install powermgmt-base <none> 1.30+nmu1
2012-07-17 12:01:13 status half-installed powermgmt-base 1.30+nmu1
2012-07-17 12:01:13 status half-installed powermgmt-base 1.30+nmu1
2012-07-17 12:01:13 status unpacked powermgmt-base 1.30+nmu1
2012-07-17 12:01:13 status unpacked powermgmt-base 1.30+nmu1
2012-07-17 12:01:13 install pm-utils <none> 1.1.2.4-1
2012-07-17 12:01:13 status half-installed pm-utils 1.1.2.4-1
2012-07-17 12:01:13 status half-installed pm-utils 1.1.2.4-1
2012-07-17 12:01:13 status unpacked pm-utils 1.1.2.4-1
2012-07-17 12:01:13 status unpacked pm-utils 1.1.2.4-1
2012-07-17 12:01:13 install hal <none> 0.5.11-8
2012-07-17 12:01:13 status half-installed hal 0.5.11-8
2012-07-17 12:01:14 status half-installed hal 0.5.11-8
2012-07-17 12:01:14 status unpacked hal 0.5.11-8
2012-07-17 12:01:15 status unpacked hal 0.5.11-8
2012-07-17 12:01:15 install menu <none> 2.1.41
2012-07-17 12:01:15 status half-installed menu 2.1.41
2012-07-17 12:01:15 status half-installed menu 2.1.41
2012-07-17 12:01:15 status unpacked menu 2.1.41
2012-07-17 12:01:15 status unpacked menu 2.1.41
2012-07-17 12:01:15 install gparted <none> 0.3.8-1+b1
2012-07-17 12:01:15 status half-installed gparted 0.3.8-1+b1
2012-07-17 12:01:15 status half-installed gparted 0.3.8-1+b1
2012-07-17 12:01:16 status unpacked gparted 0.3.8-1+b1
2012-07-17 12:01:16 status unpacked gparted 0.3.8-1+b1
2012-07-17 12:01:16 install radeontool <none> 1.5-5
2012-07-17 12:01:16 status half-installed radeontool 1.5-5
2012-07-17 12:01:16 status half-installed radeontool 1.5-5
2012-07-17 12:01:17 status unpacked radeontool 1.5-5
2012-07-17 12:01:17 status unpacked radeontool 1.5-5
2012-07-17 12:01:17 trigproc man-db 2.5.2-4 2.5.2-4
2012-07-17 12:01:17 status half-configured man-db 2.5.2-4
2012-07-17 12:01:17 status installed man-db 2.5.2-4
2012-07-17 12:01:18 startup packages configure
2012-07-17 12:01:18 configure console-data 2:1.07-11 2:1.07-11
2012-07-17 12:01:18 status unpacked console-data 2:1.07-11
2012-07-17 12:01:18 status half-configured console-data 2:1.07-11
2012-07-17 12:01:52 status installed console-data 2:1.07-11
